Product_ID,Product_Name,Product_Category,Price
1,Wooden Serving Tray,Serveware,19.99
2,Glass Dish Rack,Miscellaneous Housewares,19.99
3,Compact Can Opener,Miscellaneous Housewares,19.99
4,Classic Cutting Board,Miscellaneous Housewares,19.99
5,Compact Tea Kettle,Drinkware,9.99
6,Insulated Tea Kettle,Drinkware,9.99
7,Wooden Grater,Kitchen Tools,15.99
8,Eco Drawer Organizer,Organizers,19.99
9,Classic Cutting Board 2,Miscellaneous Housewares,19.99
10,Deluxe Dustpan,Miscellaneous Housewares,19.99
11,Heavy-Duty Lunch Box,Food Storage,11.99
12,Deluxe Shower Curtain,Bathroom Accessories,19.99
13,Modern Mop,Cleaning Tools,19.99
14,Wooden Sponge Pack,Cleaning Tools,19.99
15,Modern Towel Set,Miscellaneous Housewares,19.99
16,Classic Paper Towel Holder,Miscellaneous Housewares,19.99
17,Eco Salt Shaker,Miscellaneous Housewares,19.99
18,Eco Trash Can,Miscellaneous Housewares,19.99
19,Heavy-Duty Whisk,Kitchen Tools,15.99
20,Glass Sponge Pack,Cleaning Tools,19.99
21,Classic Storage Container,Food Storage,11.99
22,Stainless Steel Skillet,Cookware,39.99
23,Classic Towel Set,Miscellaneous Housewares,19.99
24,Eco Tea Kettle,Drinkware,9.99
25,Classic Dish Rack,Miscellaneous Housewares,19.99
26,Wooden Toilet Brush,Bathroom Accessories,19.99
27,Insulated Paper Towel Holder,Miscellaneous Housewares,19.99
28,Insulated Mop,Cleaning Tools,19.99
29,Heavy-Duty Tea Kettle,Drinkware,9.99
30,Deluxe Salt Shaker,Miscellaneous Housewares,19.99
31,Classic Dish Rack 2,Miscellaneous Housewares,19.99
32,Compact Towel Set,Miscellaneous Housewares,19.99
33,Stainless Steel Shower Curtain,Bathroom Accessories,19.99
34,Lightweight Whisk,Kitchen Tools,15.99
35,Insulated Bath Mat,Bathroom Accessories,19.99
36,Compact Skillet,Cookware,39.99
37,Ceramic Ice Cube Tray,Serveware,19.99
38,Lightweight Soap Dispenser,Miscellaneous Housewares,19.99
39,Insulated Lunch Box,Food Storage,11.99
40,Insulated Lunch Box 2,Food Storage,11.99
41,Stainless Steel Dish Rack,Miscellaneous Housewares,19.99
42,Ceramic Spatula,Kitchen Tools,15.99
43,Ceramic Can Opener,Miscellaneous Housewares,19.99
44,Ceramic Toilet Brush,Bathroom Accessories,19.99
45,Glass Grater,Kitchen Tools,15.99
46,Compact Shower Curtain,Bathroom Accessories,19.99
47,Eco Food Scale,Miscellaneous Housewares,19.99
48,Wooden Colander,Miscellaneous Housewares,19.99
49,Modern Kitchen Knife,Kitchen Tools,15.99
50,Premium Dish Rack,Miscellaneous Housewares,19.99
51,Stainless Steel Salt Shaker,Miscellaneous Housewares,19.99
52,Wooden Kitchen Knife,Kitchen Tools,15.99
53,Lightweight Mixing Bowl,Dinnerware,14.99
54,Eco Drawer Organizer 2,Organizers,19.99
55,Insulated Mixing Bowl,Dinnerware,14.99
56,Classic Broom,Cleaning Tools,19.99
57,Insulated Dustpan,Miscellaneous Housewares,19.99
58,Insulated Soap Dispenser,Miscellaneous Housewares,19.99
59,Stainless Steel Drawer Organizer,Organizers,19.99
60,Glass Baking Sheet,Cookware,39.99
61,Heavy-Duty Skillet,Cookware,39.99
62,Classic Sponge Pack,Cleaning Tools,19.99
63,Wooden Shower Curtain,Bathroom Accessories,19.99
64,Eco Measuring Cup,Miscellaneous Housewares,19.99
65,Insulated Oven Mitt,Cookware,39.99
66,Modern Grater,Kitchen Tools,15.99
67,Stainless Steel Measuring Cup,Miscellaneous Housewares,19.99
68,Ceramic Dish Rack,Miscellaneous Housewares,19.99
69,Heavy-Duty Sponge Pack,Cleaning Tools,19.99
70,Stainless Steel Rolling Pin,Miscellaneous Housewares,19.99
71,Glass Mixing Bowl,Dinnerware,14.99
72,Classic Serving Tray,Serveware,19.99
73,Wooden Baking Sheet,Cookware,39.99
74,Classic Grater,Kitchen Tools,15.99
75,Classic Dish Rack 3,Miscellaneous Housewares,19.99
76,Compact Oven Mitt,Cookware,39.99
77,Wooden Lunch Box,Food Storage,11.99
78,Insulated Oven Mitt 2,Cookware,39.99
79,Insulated Dustpan 2,Miscellaneous Housewares,19.99
80,Ceramic Serving Tray,Serveware,19.99
81,Stainless Steel Dish Rack 2,Miscellaneous Housewares,19.99
82,Stainless Steel Pepper Grinder,Miscellaneous Housewares,19.99
83,Insulated Laundry Basket,Laundry Supplies,19.99
84,Premium Lunch Box,Food Storage,11.99
85,Deluxe Rolling Pin,Miscellaneous Housewares,19.99
86,Insulated Water Bottle,Drinkware,9.99
87,Ceramic Skillet,Cookware,39.99
88,Deluxe Food Scale,Miscellaneous Housewares,19.99
89,Insulated Bath Mat 2,Bathroom Accessories,19.99
90,Stainless Steel Dustpan,Miscellaneous Housewares,19.99
91,Eco Coffee Mug,Drinkware,9.99
92,Compact Drawer Organizer,Organizers,19.99
93,Heavy-Duty Skillet 2,Cookware,39.99
94,Stainless Steel Food Scale,Miscellaneous Housewares,19.99
95,Eco Salt Shaker 2,Miscellaneous Housewares,19.99
96,Deluxe Colander,Miscellaneous Housewares,19.99
97,Classic Towel Set 2,Miscellaneous Housewares,19.99
98,Lightweight Dish Rack,Miscellaneous Housewares,19.99
99,Ceramic Tea Kettle,Drinkware,9.99
100,Glass Dustpan,Miscellaneous Housewares,19.99
101,Stainless Steel Oven Mitt,Cookware,39.99
102,Eco Soap Dispenser,Miscellaneous Housewares,19.99
103,Modern Mop 2,Cleaning Tools,19.99
104,Ceramic Lunch Box,Food Storage,11.99
105,Eco Toilet Brush,Bathroom Accessories,19.99
106,Deluxe Dustpan 2,Miscellaneous Housewares,19.99
107,Heavy-Duty Tea Kettle 2,Drinkware,9.99
108,Classic Serving Tray 2,Serveware,19.99
109,Stainless Steel Spatula,Kitchen Tools,15.99
110,Insulated Food Scale,Miscellaneous Housewares,19.99
111,Glass Water Bottle,Drinkware,9.99
112,Eco Sponge Pack,Cleaning Tools,19.99
113,Eco Storage Container,Food Storage,11.99
114,Deluxe Food Scale 2,Miscellaneous Housewares,19.99
115,Compact Water Bottle,Drinkware,9.99
116,Glass Cutting Board,Miscellaneous Housewares,19.99
117,Stainless Steel Food Scale 2,Miscellaneous Housewares,19.99
118,Ceramic Mop,Cleaning Tools,19.99
119,Classic Salt Shaker,Miscellaneous Housewares,19.99
120,Premium Lunch Box 2,Food Storage,11.99
121,Stainless Steel Coffee Mug,Drinkware,9.99
122,Compact Skillet 2,Cookware,39.99
123,Lightweight Lunch Box,Food Storage,11.99
124,Classic Salt Shaker 2,Miscellaneous Housewares,19.99
125,Lightweight Sponge Pack,Cleaning Tools,19.99
126,Compact Coffee Mug,Drinkware,9.99
127,Lightweight Baking Sheet,Cookware,39.99
128,Modern Food Scale,Miscellaneous Housewares,19.99
129,Insulated Shower Curtain,Bathroom Accessories,19.99
130,Stainless Steel Water Bottle,Drinkware,9.99
131,Insulated Salt Shaker,Miscellaneous Housewares,19.99
132,Wooden Serving Tray 2,Serveware,19.99
133,Stainless Steel Trash Can,Miscellaneous Housewares,19.99
134,Wooden Coffee Mug,Drinkware,9.99
135,Stainless Steel Dustpan 2,Miscellaneous Housewares,19.99
136,Stainless Steel Cutting Board,Miscellaneous Housewares,19.99
137,Premium Shower Curtain,Bathroom Accessories,19.99
138,Lightweight Cutting Board,Miscellaneous Housewares,19.99
139,Premium Laundry Basket,Laundry Supplies,19.99
140,Premium Whisk,Kitchen Tools,15.99
141,Eco Serving Tray,Serveware,19.99
142,Premium Coffee Mug,Drinkware,9.99
143,Eco Pepper Grinder,Miscellaneous Housewares,19.99
144,Wooden Dustpan,Miscellaneous Housewares,19.99
145,Classic Measuring Cup,Miscellaneous Housewares,19.99
146,Wooden Coffee Mug 2,Drinkware,9.99
147,Insulated Toilet Brush,Bathroom Accessories,19.99
148,Classic Sponge Pack 2,Cleaning Tools,19.99
149,Deluxe Mixing Bowl,Dinnerware,14.99
150,Glass Toilet Brush,Bathroom Accessories,19.99
151,Lightweight Broom,Cleaning Tools,19.99
152,Eco Paper Towel Holder,Miscellaneous Housewares,19.99
153,Eco Tea Kettle 2,Drinkware,9.99
154,Classic Shower Curtain,Bathroom Accessories,19.99
155,Glass Colander,Miscellaneous Housewares,19.99
156,Stainless Steel Broom,Cleaning Tools,19.99
157,Eco Whisk,Kitchen Tools,15.99
158,Heavy-Duty Whisk 2,Kitchen Tools,15.99
159,Compact Dustpan,Miscellaneous Housewares,19.99
160,Glass Baking Sheet 2,Cookware,39.99
161,Heavy-Duty Plate Set,Dinnerware,14.99
162,Glass Water Bottle 2,Drinkware,9.99
163,Heavy-Duty Drawer Organizer,Organizers,19.99
164,Eco Food Scale 2,Miscellaneous Housewares,19.99
165,Eco Salt Shaker 3,Miscellaneous Housewares,19.99
166,Deluxe Can Opener,Miscellaneous Housewares,19.99
167,Modern Trash Can,Miscellaneous Housewares,19.99
168,Deluxe Soap Dispenser,Miscellaneous Housewares,19.99
169,Classic Cutting Board 3,Miscellaneous Housewares,19.99
170,Stainless Steel Mop,Cleaning Tools,19.99
171,Eco Baking Sheet,Cookware,39.99
172,Glass Sponge Pack 2,Cleaning Tools,19.99
173,Eco Saucepan,Cookware,39.99
174,Ceramic Can Opener 2,Miscellaneous Housewares,19.99
175,Classic Skillet,Cookware,39.99
176,Wooden Salt Shaker,Miscellaneous Housewares,19.99
177,Insulated Colander,Miscellaneous Housewares,19.99
178,Stainless Steel Pepper Grinder 2,Miscellaneous Housewares,19.99
179,Ceramic Ice Cube Tray 2,Serveware,19.99
180,Compact Storage Container,Food Storage,11.99
181,Modern Serving Tray,Serveware,19.99
182,Premium Salt Shaker,Miscellaneous Housewares,19.99
183,Ceramic Lunch Box 2,Food Storage,11.99
184,Lightweight Baking Sheet 2,Cookware,39.99
185,Modern Lunch Box,Food Storage,11.99
186,Deluxe Food Scale 3,Miscellaneous Housewares,19.99
187,Insulated Serving Tray,Serveware,19.99
188,Lightweight Can Opener,Miscellaneous Housewares,19.99
189,Eco Cutting Board,Miscellaneous Housewares,19.99
190,Eco Saucepan 2,Cookware,39.99
191,Lightweight Dish Rack 2,Miscellaneous Housewares,19.99
192,Premium Colander,Miscellaneous Housewares,19.99
193,Wooden Spatula,Kitchen Tools,15.99
194,Premium Plate Set,Dinnerware,14.99
195,Insulated Broom,Cleaning Tools,19.99
196,Stainless Steel Colander,Miscellaneous Housewares,19.99
197,Modern Coffee Mug,Drinkware,9.99
198,Premium Dustpan,Miscellaneous Housewares,19.99
199,Ceramic Cutting Board,Miscellaneous Housewares,19.99
200,Ceramic Dustpan,Miscellaneous Housewares,19.99
201,Premium Lunch Box 3,Food Storage,11.99
202,Deluxe Mixing Bowl 2,Dinnerware,14.99
203,Ceramic Drawer Organizer,Organizers,19.99
204,Premium Bath Mat,Bathroom Accessories,19.99
205,Glass Broom,Cleaning Tools,19.99
206,Modern Serving Tray 2,Serveware,19.99
207,Ceramic Towel Set,Miscellaneous Housewares,19.99
208,Glass Dustpan 2,Miscellaneous Housewares,19.99
209,Wooden Can Opener,Miscellaneous Housewares,19.99
210,Heavy-Duty Pepper Grinder,Miscellaneous Housewares,19.99
211,Stainless Steel Rolling Pin 2,Miscellaneous Housewares,19.99
212,Eco Salt Shaker 4,Miscellaneous Housewares,19.99
213,Wooden Food Scale,Miscellaneous Housewares,19.99
214,Insulated Lunch Box 3,Food Storage,11.99
215,Insulated Baking Sheet,Cookware,39.99
216,Eco Oven Mitt,Cookware,39.99
217,Lightweight Spatula,Kitchen Tools,15.99
218,Stainless Steel Trash Can 2,Miscellaneous Housewares,19.99
219,Glass Cutting Board 2,Miscellaneous Housewares,19.99
220,Ceramic Spatula 2,Kitchen Tools,15.99
221,Wooden Coffee Mug 3,Drinkware,9.99
222,Deluxe Paper Towel Holder,Miscellaneous Housewares,19.99
223,Glass Paper Towel Holder,Miscellaneous Housewares,19.99
224,Eco Pepper Grinder 2,Miscellaneous Housewares,19.99
225,Premium Measuring Cup,Miscellaneous Housewares,19.99
226,Insulated Saucepan,Cookware,39.99
227,Compact Trash Can,Miscellaneous Housewares,19.99
228,Ceramic Cutting Board 2,Miscellaneous Housewares,19.99
229,Deluxe Baking Sheet,Cookware,39.99
230,Eco Kitchen Knife,Kitchen Tools,15.99
231,Deluxe Storage Container,Food Storage,11.99
232,Stainless Steel Plate Set,Dinnerware,14.99
233,Ceramic Dustpan 2,Miscellaneous Housewares,19.99
234,Premium Rolling Pin,Miscellaneous Housewares,19.99
235,Heavy-Duty Cutting Board,Miscellaneous Housewares,19.99
236,Insulated Cutting Board,Miscellaneous Housewares,19.99
237,Lightweight Food Scale,Miscellaneous Housewares,19.99
238,Insulated Lunch Box 4,Food Storage,11.99
239,Wooden Storage Container,Food Storage,11.99
240,Eco Trash Can 2,Miscellaneous Housewares,19.99
241,Glass Dish Rack 2,Miscellaneous Housewares,19.99
242,Eco Coffee Mug 2,Drinkware,9.99
243,Modern Grater 2,Kitchen Tools,15.99
244,Ceramic Spatula 3,Kitchen Tools,15.99
245,Premium Ice Cube Tray,Serveware,19.99
246,Insulated Laundry Basket 2,Laundry Supplies,19.99
247,Insulated Bath Mat 3,Bathroom Accessories,19.99
248,Premium Plate Set 2,Dinnerware,14.99
249,Wooden Mop,Cleaning Tools,19.99
250,Heavy-Duty Towel Set,Miscellaneous Housewares,19.99
251,Compact Soap Dispenser,Miscellaneous Housewares,19.99
252,Premium Food Scale,Miscellaneous Housewares,19.99
253,Insulated Paper Towel Holder 2,Miscellaneous Housewares,19.99
254,Stainless Steel Coffee Mug 2,Drinkware,9.99
255,Premium Shower Curtain 2,Bathroom Accessories,19.99
256,Glass Baking Sheet 3,Cookware,39.99
257,Heavy-Duty Pepper Grinder 2,Miscellaneous Housewares,19.99
258,Classic Coffee Mug,Drinkware,9.99
259,Wooden Cutting Board,Miscellaneous Housewares,19.99
260,Premium Coffee Mug 2,Drinkware,9.99
261,Classic Measuring Cup 2,Miscellaneous Housewares,19.99
262,Stainless Steel Toilet Brush,Bathroom Accessories,19.99
263,Compact Rolling Pin,Miscellaneous Housewares,19.99
264,Deluxe Trash Can,Miscellaneous Housewares,19.99
265,Stainless Steel Pepper Grinder 3,Miscellaneous Housewares,19.99
266,Glass Spatula,Kitchen Tools,15.99
267,Lightweight Spatula 2,Kitchen Tools,15.99
268,Ceramic Shower Curtain,Bathroom Accessories,19.99
269,Compact Laundry Basket,Laundry Supplies,19.99
270,Lightweight Soap Dispenser 2,Miscellaneous Housewares,19.99
271,Classic Bath Mat,Bathroom Accessories,19.99
272,Premium Cutting Board,Miscellaneous Housewares,19.99
273,Ceramic Coffee Mug,Drinkware,9.99
274,Classic Can Opener,Miscellaneous Housewares,19.99
275,Modern Colander,Miscellaneous Housewares,19.99
276,Modern Paper Towel Holder,Miscellaneous Housewares,19.99
277,Wooden Plate Set,Dinnerware,14.99
278,Deluxe Measuring Cup,Miscellaneous Housewares,19.99
279,Classic Laundry Basket,Laundry Supplies,19.99
280,Classic Spatula,Kitchen Tools,15.99
281,Premium Shower Curtain 3,Bathroom Accessories,19.99
282,Ceramic Mixing Bowl,Dinnerware,14.99
283,Deluxe Serving Tray,Serveware,19.99
284,Glass Towel Set,Miscellaneous Housewares,19.99
285,Heavy-Duty Serving Tray,Serveware,19.99
286,Insulated Paper Towel Holder 3,Miscellaneous Housewares,19.99
287,Modern Tea Kettle,Drinkware,9.99
288,Premium Ice Cube Tray 2,Serveware,19.99
289,Insulated Broom 2,Cleaning Tools,19.99
290,Glass Water Bottle 3,Drinkware,9.99
291,Ceramic Dish Rack 2,Miscellaneous Housewares,19.99
292,Modern Mixing Bowl,Dinnerware,14.99
293,Lightweight Plate Set,Dinnerware,14.99
294,Eco Food Scale 3,Miscellaneous Housewares,19.99
295,Lightweight Pepper Grinder,Miscellaneous Housewares,19.99
296,Lightweight Can Opener 2,Miscellaneous Housewares,19.99
297,Wooden Bath Mat,Bathroom Accessories,19.99
298,Compact Measuring Cup,Miscellaneous Housewares,19.99
299,Compact Saucepan,Cookware,39.99
300,Stainless Steel Sponge Pack,Cleaning Tools,19.99
301,Classic Sponge Pack 3,Cleaning Tools,19.99
302,Lightweight Salt Shaker,Miscellaneous Housewares,19.99
303,Stainless Steel Whisk,Kitchen Tools,15.99
304,Modern Grater 3,Kitchen Tools,15.99
305,Lightweight Tea Kettle,Drinkware,9.99
306,Classic Water Bottle,Drinkware,9.99
307,Insulated Ice Cube Tray,Serveware,19.99
308,Eco Shower Curtain,Bathroom Accessories,19.99
309,Ceramic Dustpan 3,Miscellaneous Housewares,19.99
310,Ceramic Food Scale,Miscellaneous Housewares,19.99
311,Eco Soap Dispenser 2,Miscellaneous Housewares,19.99
312,Lightweight Cutting Board 2,Miscellaneous Housewares,19.99
313,Eco Shower Curtain 2,Bathroom Accessories,19.99
314,Modern Water Bottle,Drinkware,9.99
315,Wooden Toilet Brush 2,Bathroom Accessories,19.99
316,Premium Cutting Board 2,Miscellaneous Housewares,19.99
317,Premium Spatula,Kitchen Tools,15.99
318,Heavy-Duty Shower Curtain,Bathroom Accessories,19.99
319,Insulated Towel Set,Miscellaneous Housewares,19.99
320,Premium Tea Kettle,Drinkware,9.99
321,Insulated Lunch Box 5,Food Storage,11.99
322,Eco Salt Shaker 5,Miscellaneous Housewares,19.99
323,Heavy-Duty Measuring Cup,Miscellaneous Housewares,19.99
324,Stainless Steel Oven Mitt 2,Cookware,39.99
325,Classic Pepper Grinder,Miscellaneous Housewares,19.99
326,Classic Tea Kettle,Drinkware,9.99
327,Eco Spatula,Kitchen Tools,15.99
328,Compact Lunch Box,Food Storage,11.99
329,Glass Rolling Pin,Miscellaneous Housewares,19.99
330,Deluxe Rolling Pin 2,Miscellaneous Housewares,19.99
331,Eco Whisk 2,Kitchen Tools,15.99
332,Premium Mixing Bowl,Dinnerware,14.99
333,Compact Tea Kettle 2,Drinkware,9.99
334,Deluxe Sponge Pack,Cleaning Tools,19.99
335,Ceramic Mop 2,Cleaning Tools,19.99
336,Wooden Sponge Pack 2,Cleaning Tools,19.99
337,Wooden Plate Set 2,Dinnerware,14.99
338,Classic Oven Mitt,Cookware,39.99
339,Eco Kitchen Knife 2,Kitchen Tools,15.99
340,Glass Spatula 2,Kitchen Tools,15.99
341,Wooden Serving Tray 3,Serveware,19.99
342,Glass Coffee Mug,Drinkware,9.99
343,Compact Spatula,Kitchen Tools,15.99
344,Wooden Skillet,Cookware,39.99
345,Lightweight Ice Cube Tray,Serveware,19.99
346,Ceramic Kitchen Knife,Kitchen Tools,15.99
347,Premium Bath Mat 2,Bathroom Accessories,19.99
348,Wooden Tea Kettle,Drinkware,9.99
349,Modern Laundry Basket,Laundry Supplies,19.99
350,Ceramic Spatula 4,Kitchen Tools,15.99
351,Insulated Towel Set 2,Miscellaneous Housewares,19.99
352,Wooden Cutting Board 2,Miscellaneous Housewares,19.99
353,Wooden Skillet 2,Cookware,39.99
354,Premium Dish Rack 2,Miscellaneous Housewares,19.99
355,Insulated Ice Cube Tray 2,Serveware,19.99
356,Compact Storage Container 2,Food Storage,11.99
357,Compact Mop,Cleaning Tools,19.99
358,Eco Mixing Bowl,Dinnerware,14.99
359,Wooden Food Scale 2,Miscellaneous Housewares,19.99
360,Insulated Mixing Bowl 2,Dinnerware,14.99
361,Glass Sponge Pack 3,Cleaning Tools,19.99
362,Deluxe Pepper Grinder,Miscellaneous Housewares,19.99
363,Heavy-Duty Paper Towel Holder,Miscellaneous Housewares,19.99
364,Deluxe Bath Mat,Bathroom Accessories,19.99
365,Modern Rolling Pin,Miscellaneous Housewares,19.99
366,Deluxe Soap Dispenser 2,Miscellaneous Housewares,19.99
367,Premium Soap Dispenser,Miscellaneous Housewares,19.99
368,Lightweight Soap Dispenser 3,Miscellaneous Housewares,19.99
369,Stainless Steel Can Opener,Miscellaneous Housewares,19.99
370,Glass Grater 2,Kitchen Tools,15.99
371,Glass Coffee Mug 2,Drinkware,9.99
372,Eco Rolling Pin,Miscellaneous Housewares,19.99
373,Deluxe Grater,Kitchen Tools,15.99
374,Premium Tea Kettle 2,Drinkware,9.99
375,Modern Skillet,Cookware,39.99
376,Premium Lunch Box 4,Food Storage,11.99
377,Deluxe Broom,Cleaning Tools,19.99
378,Wooden Towel Set,Miscellaneous Housewares,19.99
379,Heavy-Duty Colander,Miscellaneous Housewares,19.99
380,Deluxe Laundry Basket,Laundry Supplies,19.99
381,Eco Coffee Mug 3,Drinkware,9.99
382,Insulated Oven Mitt 3,Cookware,39.99
383,Wooden Plate Set 3,Dinnerware,14.99
384,Eco Bath Mat,Bathroom Accessories,19.99
385,Stainless Steel Food Scale 3,Miscellaneous Housewares,19.99
386,Modern Measuring Cup,Miscellaneous Housewares,19.99
387,Deluxe Drawer Organizer,Organizers,19.99
388,Ceramic Toilet Brush 2,Bathroom Accessories,19.99
389,Classic Drawer Organizer,Organizers,19.99
390,Heavy-Duty Dish Rack,Miscellaneous Housewares,19.99
391,Modern Water Bottle 2,Drinkware,9.99
392,Compact Dustpan 2,Miscellaneous Housewares,19.99
393,Premium Water Bottle,Drinkware,9.99
394,Heavy-Duty Bath Mat,Bathroom Accessories,19.99
395,Classic Cutting Board 4,Miscellaneous Housewares,19.99
396,Lightweight Baking Sheet 3,Cookware,39.99
397,Stainless Steel Sponge Pack 2,Cleaning Tools,19.99
398,Wooden Paper Towel Holder,Miscellaneous Housewares,19.99
399,Eco Can Opener,Miscellaneous Housewares,19.99
400,Premium Shower Curtain 4,Bathroom Accessories,19.99
401,Classic Paper Towel Holder 2,Miscellaneous Housewares,19.99
402,Glass Towel Set 2,Miscellaneous Housewares,19.99
403,Lightweight Grater,Kitchen Tools,15.99
404,Ceramic Colander,Miscellaneous Housewares,19.99
405,Insulated Skillet,Cookware,39.99
406,Heavy-Duty Skillet 3,Cookware,39.99
407,Insulated Skillet 2,Cookware,39.99
408,Insulated Storage Container,Food Storage,11.99
